"""id""",firstname,lastname,team,gp,minutes,fgm,fga,fgpct,threem,threea,threepct,ftm,fta,ftpct,offreb,defreb,reb,ast,to,stl,blk,pf,ppg,created_at,updated_at,fanduelpts
1, LeBron,James,CLE,22,38.1,9.1,18.4,49.4,1.6,4.2,37.6,5.8,7.7,75.3,0.8,4.8,5.5,7.8,3.8,1.4,0.8,1.7,25.6,2014-12-17T08:30:59.300Z,2014-12-17T08:30:59.300Z,44.5
2, Anthony,Davis,NO,23,34.9,9.6,16.5,58.3,0,0.3,0,5.4,7,77.5,2.8,7.3,10.1,1.6,1.3,1.8,2.7,2,24.6,2014-12-17T08:30:59.316Z,2014-12-17T08:30:59.316Z,46.82
3, Blake,Griffin,LAC,24,34.5,8.7,17.6,49.4,0.3,0.5,63.6,4.8,6.5,72.6,2,5.4,7.3,4.3,2.2,0.7,0.4,3,22.5,2014-12-17T08:30:59.318Z,2014-12-17T08:30:59.318Z,37.71
4, Klay,Thompson,GS,23,34.2,7.7,17,45.1,2.9,6.7,43.8,3.5,4,87,0.3,3.3,3.7,3.3,2.2,1.3,0.9,1.8,21.7,2014-12-17T08:30:59.321Z,2014-12-17T08:30:59.321Z,33.29
5, Rudy,Gay,SAC,23,36.2,7.3,16.7,43.8,1,2.8,36.9,5.5,6.3,87.6,1.4,4.9,6.3,4.6,2.9,1.1,0.5,2.3,21.2,2014-12-17T08:30:59.323Z,2014-12-17T08:30:59.323Z,35.96
6, Monta,Ellis,DAL,26,33.7,8,17.4,46.1,1,3.5,30,3.3,4.2,79.1,0.6,1.9,2.5,4.6,2.5,1.5,0.3,2.6,20.5,2014-12-17T08:30:59.325Z,2014-12-17T08:30:59.325Z,31.5
7, Kyrie,Irving,CLE,23,38,7,15.3,46,1.8,4.7,38.5,4.5,5.3,83.7,0.6,2.6,3.1,5.2,1.7,1.6,0.4,2.1,20.4,2014-12-17T08:30:59.328Z,2014-12-17T08:30:59.328Z,34.22
8, Jeff,Green,BOS,22,34.1,6.9,15.1,45.5,1.6,5,31.8,4.4,5.3,83.6,0.9,3.7,4.5,1.5,2,1,0.5,2.1,19.7,2014-12-17T08:30:59.331Z,2014-12-17T08:30:59.331Z,28.35
9, Kyle,Lowry,TOR,25,34.7,6.6,15.2,43.6,1.6,5,32.5,4.7,5.8,81.3,1,3.7,4.7,7.6,2.2,1.4,0.2,3.1,19.6,2014-12-17T08:30:59.334Z,2014-12-17T08:30:59.334Z,37.64
10, Al,Jefferson,CHA,24,33.1,8.2,17.1,47.9,0,0,0,2.4,3.5,69,1.7,6.3,8,1.9,1.1,0.5,1.2,2,18.8,2014-12-17T08:30:59.337Z,2014-12-17T08:30:59.337Z,33.55
11, Pau,Gasol,CHI,21,36,7.6,15.9,47.7,0,0.1,0,3.5,4.6,76.3,2.5,9.4,11.9,2.3,2.3,0.5,1.9,1.8,18.7,2014-12-17T08:30:59.340Z,2014-12-17T08:30:59.340Z,38.93
12, Mike,Conley,MEM,24,33.1,6.2,13.2,47.2,1.5,3.4,42.7,3.9,4.6,85.5,0.4,2.4,2.8,6.2,2.3,1.2,0.1,2.1,17.8,2014-12-17T08:30:59.342Z,2014-12-17T08:30:59.342Z,30.76
13, Brandon,Knight,MIL,25,32.3,5.8,13.3,43.5,1.8,4.4,39.6,4.2,4.6,89.7,0.5,4.2,4.7,5.6,3.4,1.4,0.1,2.1,17.5,2014-12-17T08:30:59.345Z,2014-12-17T08:30:59.345Z,31.14
14, Tyreke,Evans,NO,24,34.6,6.8,15.8,43.4,0.9,2.7,32.3,2.5,3.8,65.6,1.2,4.2,5.3,5.8,3,1.2,0.4,2.7,17,2014-12-17T08:30:59.347Z,2014-12-17T08:30:59.347Z,32.26
15, Deron,Williams,BKN,23,35.6,5.3,13.1,40.9,1.7,4.2,39.2,4.1,4.6,89.5,0.4,2.8,3.2,6.9,2.6,1.2,0.3,2.4,16.4,2014-12-17T08:30:59.350Z,2014-12-17T08:30:59.350Z,30.99
16, Reggie,Jackson,OKC,22,33.8,6.1,14.6,41.9,1,4.1,23.1,3,3.4,87.8,0.8,3.8,4.6,5.7,2.5,0.9,0.1,2.5,16.2,2014-12-17T08:30:59.353Z,2014-12-17T08:30:59.353Z,29.77
17, Goran,Dragic,PHO,24,32.2,6.3,12.7,49.7,1.3,3.7,36.4,2.2,2.6,83.9,0.8,2.6,3.4,4,2.3,1,0.1,2,16.1,2014-12-17T08:30:59.356Z,2014-12-17T08:30:59.356Z,26.08
18, Jamal,Crawford,LAC,23,26.7,5.1,12.1,42.4,2,5.7,35.1,3.8,4.1,91.6,0.1,1.5,1.6,3.2,1.6,1.1,0.1,1.8,16,2014-12-17T08:30:59.358Z,2014-12-17T08:30:59.358Z,23.52
